,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
0,0,1548,0.536388,228288,228288,1
1,0,1574,1.0,228288,228288,1
2,0,1648,1.0,369509,369509,1
3,1,17,0.242983,14893,14893,1
4,1,119,0.552586,277716,277716,1
5,1,198,0.552586,277716,277716,1
6,1,290,1.0,108137,108137,1
7,1,634,0.552586,277716,277716,1
8,1,838,0.552586,277716,277716,1
9,1,1041,0.552586,277716,277716,1
10,1,1293,0.552586,277716,277716,1
11,2,452,0.419333,345530,345530,1
12,3,231,1.0,57072,57072,1
13,3,581,1.0,290565,290565,1
14,3,1485,1.0,290565,290565,1
15,3,1773,1.0,290565,290565,1
16,3,1920,1.0,290565,290565,1
17,4,614,0.158963,352378,352378,1
18,4,1056,1.0,12498,12498,1
19,5,542,1.0,3560,3560,1
20,5,877,1.0,357861,357861,1
21,5,1154,1.0,357861,357861,1
22,5,1224,1.0,357861,357861,1
23,5,1357,1.0,357861,357861,1
24,5,1978,1.0,247974,247974,1
25,6,56,1.0,213465,213465,1
26,6,873,1.0,213465,213465,1
27,6,1200,1.0,213465,213465,1
28,6,1557,1.0,213465,213465,1
29,7,368,0.006011,69412,69412,1
30,7,778,0.993989,58356,58356,1
31,7,1892,0.993989,58356,58356,1
32,9,250,0.203997,34403,34403,1
33,9,1689,1.0,148386,148386,1
34,10,1360,1.0,256245,256245,1
35,11,96,1.0,173329,173329,1
36,11,137,1.0,173329,173329,1
37,11,178,1.0,303333,303333,1
38,11,729,0.881203,350306,350306,1
39,11,1447,1.0,303333,303333,1
40,11,1510,1.0,303333,303333,1
41,11,1779,1.0,173329,173329,1
42,12,1848,1.0,16098,16098,1
43,14,1946,1.0,219087,219087,1
44,15,916,0.947866,78817,78817,1
45,15,1114,0.947866,50458,50458,1
46,15,1332,0.947866,322787,322787,1
47,15,1353,0.395966,42040,42040,1
48,15,1398,0.947866,78817,78817,1
49,15,1401,0.947866,195760,195760,1
50,15,1752,0.947866,195760,195760,1
51,15,1993,0.947866,50458,50458,1
52,16,86,0.389813,318217,318217,1
53,16,153,0.682537,287268,287268,1
54,16,441,1.0,208142,208142,1
55,16,482,1.0,208142,208142,1
56,16,496,1.0,208142,208142,1
57,16,740,1.0,208142,208142,1
58,16,776,0.682537,287268,287268,1
59,16,816,0.389813,318217,318217,1
60,16,1336,1.0,318217,318217,1
61,16,1540,0.389813,318217,318217,1
62,16,1783,0.319901,208142,208142,1
63,17,290,0.242983,108137,108137,1
64,17,833,0.757017,22010,22010,1
65,21,312,0.315102,289725,289725,1
66,21,840,0.684898,282748,282748,1
67,21,993,1.0,51194,51194,1
68,21,1135,0.684898,325961,325961,1
69,21,1754,1.0,3609,3609,1
70,21,1983,0.684898,282748,282748,1
71,22,235,1.0,38519,38519,1
72,23,465,1.0,171792,171792,1
73,24,154,1.0,296399,296399,1
74,24,624,1.0,5150,5150,1
75,24,1204,1.0,296399,296399,1
76,24,1207,1.0,296399,296399,1
77,24,1914,1.0,71213,71213,1
78,25,915,1.0,118301,118301,1
79,25,1145,0.72127,237867,237867,1
80,25,1473,0.72127,313002,313002,1
81,25,1713,0.27873,311584,311584,1
82,26,180,1.0,19563,19563,1
83,26,1209,1.0,19563,19563,1
84,27,257,0.832618,253942,253942,1
85,27,533,1.0,253942,253942,1
86,27,1904,0.832618,253942,253942,1
87,28,169,1.0,10486,10486,1
88,29,83,1.0,31861,31861,1
89,29,287,1.0,248899,248899,1
90,29,414,0.362413,278654,278654,1
91,29,786,0.362413,278654,278654,1
92,29,956,1.0,123261,123261,1
93,29,1547,1.0,248899,248899,1
94,29,1646,1.0,69028,69028,1
95,29,1792,1.0,137409,137409,1
96,29,1919,0.362413,278654,278654,1
97,29,1957,1.0,137409,137409,1
98,30,360,0.169671,277241,277241,1
99,30,648,1.0,277241,277241,1
100,30,874,1.0,17013,17013,1
101,30,898,1.0,354763,354763,1
102,30,1099,1.0,277241,277241,1
103,30,1193,0.169671,277241,277241,1
104,31,335,0.76743,224615,224615,1
105,31,402,1.0,308137,308137,1
106,31,715,0.568219,308137,308137,1
107,31,1803,0.200633,308137,308137,1
108,31,1981,0.76743,224615,224615,1
109,32,1570,1.0,30228,30228,1
110,33,259,0.307482,266457,266457,1
111,33,1392,0.692518,330131,330131,1
112,33,1400,0.692518,330131,330131,1
113,33,1519,1.0,24797,24797,1
114,34,1478,1.0,326079,326079,1
115,35,847,1.0,153719,153719,1
116,35,1935,1.0,153719,153719,1
117,36,352,1.0,78800,78800,1
118,37,80,1.0,64256,64256,1
119,37,243,1.0,230084,230084,1
120,37,259,0.647548,230084,230084,1
121,37,1367,0.510489,230084,230084,1
122,37,1388,1.0,230084,230084,1
123,37,1663,1.0,64256,64256,1
124,37,1985,1.0,230084,230084,1
125,38,522,1.0,332821,332821,1
126,38,774,0.088784,376329,376329,1
127,38,809,1.0,17361,17361,1
128,38,1269,0.088784,376329,376329,1
129,39,511,1.0,328438,328438,1
130,39,894,1.0,112864,112864,1
131,39,1317,1.0,112864,112864,1
132,39,1324,1.0,7683,7683,1
133,39,1527,1.0,138965,138965,1
134,39,1828,1.0,138965,138965,1
135,40,757,1.0,18389,18389,1
136,40,939,1.0,48787,48787,1
137,40,1288,1.0,3271,3271,1
138,40,1344,1.0,9752,9752,1
139,41,110,1.0,10174,10174,1
140,41,658,0.199425,365045,365045,1
141,41,685,1.0,365045,365045,1
142,41,818,0.986259,365045,365045,1
143,41,1436,1.0,365045,365045,1
144,41,1494,1.0,365045,365045,1
145,41,1859,1.0,365045,365045,1
146,41,1987,0.986259,365045,365045,1
147,42,1203,1.0,5940,5940,1
148,42,1311,1.0,23446,23446,1
149,43,1022,1.0,56891,56891,1
150,43,1040,1.0,3814,3814,1
151,44,1070,1.0,4860,4860,1
152,44,1865,1.0,7505,7505,1
153,45,1437,0.451127,278708,278708,1
154,45,1665,0.451127,278708,278708,1
155,46,1316,1.0,59665,59665,1
156,46,1449,0.788237,269876,269876,1
157,47,1589,1.0,9553,9553,1
158,48,472,1.0,105877,105877,1
159,48,860,1.0,105877,105877,1
160,51,789,1.0,2538,2538,1
161,52,181,1.0,247509,247509,1
162,52,584,0.213649,247509,247509,1
163,52,1339,0.213649,247509,247509,1
164,52,1801,1.0,109628,109628,1
165,53,900,1.0,79578,79578,1
166,53,1511,1.0,79578,79578,1
167,54,669,1.0,261184,261184,1
168,54,1759,1.0,261184,261184,1
169,55,281,0.154645,235200,235200,1
170,55,933,1.0,143302,143302,1
171,55,1659,1.0,235200,235200,1
172,55,1810,0.349879,235200,235200,1
173,55,1936,1.0,235200,235200,1
174,56,873,1.0,81943,81943,1
175,56,1200,1.0,81943,81943,1
176,56,1557,1.0,81943,81943,1
177,57,952,0.395677,217385,217385,1
178,57,1364,0.395677,217385,217385,1
179,57,1671,1.0,217385,217385,1
180,57,1781,0.395677,217385,217385,1
181,58,871,1.0,125828,125828,1
182,58,902,1.0,199156,199156,1
183,59,1184,1.0,124555,124555,1
184,59,1361,1.0,124555,124555,1
185,59,1448,1.0,67204,67204,1
186,60,313,1.0,57097,57097,1
187,60,588,0.462058,185612,185612,1
188,60,706,0.537942,242894,242894,1
189,60,725,0.462058,185612,185612,1
190,60,829,0.537942,242894,242894,1
191,60,967,0.537942,242894,242894,1
192,60,1185,0.537942,199840,199840,1
193,60,1537,0.537942,242894,242894,1
194,60,1717,1.0,22326,22326,1
195,60,1939,0.537942,242894,242894,1
196,61,138,0.814725,22845,22845,1
197,61,171,0.814725,197852,197852,1
198,61,216,0.814725,197852,197852,1
199,61,255,0.814725,109153,109153,1
200,61,822,0.185275,247751,247751,1
201,61,1261,0.814725,109153,109153,1
202,61,1342,0.814725,109153,109153,1
203,61,1453,1.0,6291,6291,1
204,61,1590,0.814725,197852,197852,1
205,64,527,0.888218,192103,192103,1
206,64,1068,1.0,221908,221908,1
207,64,1237,0.888218,192103,192103,1
208,64,1444,1.0,43272,43272,1
209,66,971,1.0,6841,6841,1
210,67,195,1.0,57362,57362,1
211,67,574,1.0,14341,14341,1
212,69,761,0.123473,349761,349761,1
213,69,1136,0.501454,325345,325345,1
214,69,1393,1.0,98445,98445,1
215,69,1475,0.124852,349761,349761,1
216,69,1610,0.124852,349761,349761,1
217,70,72,1.0,281558,322909,2
218,70,103,1.0,281558,322909,2
219,70,224,1.0,125042,322909,2
220,70,240,1.0,226451,322909,2
221,70,384,1.0,96984,322909,2
222,70,721,1.0,281558,322909,2
223,70,762,1.0,96984,322909,2
224,70,913,1.0,125042,322909,2
225,70,1694,1.0,89432,322909,2
226,71,143,1.0,114959,114959,1
227,71,946,1.0,75827,75827,1
228,71,1907,1.0,29179,29179,1
229,72,103,1.0,194306,194306,1
230,72,224,1.0,281558,281558,1
231,72,240,1.0,322909,322909,1
232,72,384,1.0,281558,281558,1
233,72,721,1.0,18164,18164,1
234,72,762,1.0,281558,281558,1
235,72,913,1.0,281558,281558,1
236,72,1694,1.0,281558,281558,1
237,73,126,0.591952,64909,64909,1
238,73,260,0.353301,131842,131842,1
239,73,357,0.353301,131842,131842,1
240,73,1088,0.353301,61747,61747,1
241,73,1711,0.591952,102412,102412,1
242,73,1972,0.591952,102412,102412,1
243,74,258,1.0,282101,282101,1
244,74,1798,1.0,20235,20235,1
245,74,1994,1.0,4487,4487,1
246,75,307,1.0,2243,2243,1
247,75,897,1.0,223367,223367,1
248,76,448,0.603059,318717,318717,1
249,76,504,0.603059,318717,318717,1
250,76,1059,0.603059,318717,318717,1
251,76,1139,0.11488,318717,318717,1
252,76,1523,1.0,31798,31798,1
253,76,1864,0.603059,318717,318717,1
254,76,1871,1.0,57164,57164,1
255,77,1129,1.0,3217,3217,1
256,77,1291,1.0,179530,179530,1
257,77,1606,1.0,27333,27333,1
258,78,262,1.0,347274,347274,1
259,78,590,1.0,122266,122266,1
260,78,812,0.106303,347274,347274,1
261,78,824,0.395331,347274,347274,1
262,78,905,0.529578,347274,347274,1
263,78,1106,0.801692,347274,347274,1
264,78,1734,1.0,347274,347274,1
265,79,134,1.0,57052,57052,1
266,79,660,0.546137,186896,186896,1
267,79,1799,1.0,186896,186896,1
268,80,243,1.0,230084,230084,1
269,80,259,0.647548,230084,230084,1
270,80,1367,0.510489,230084,230084,1
271,80,1388,1.0,230084,230084,1
272,80,1663,1.0,5052,5052,1
273,80,1985,1.0,230084,230084,1
274,81,162,0.250209,177800,177800,1
275,81,379,0.060722,134216,134216,1
276,81,380,0.060722,134216,134216,1
277,81,1033,0.060722,172612,172612,1
278,81,1039,0.939278,95346,95346,1
279,81,1101,0.939278,293059,293059,1
280,81,1217,0.060722,143314,143314,1
281,82,1690,0.740177,129469,129469,1
282,83,287,1.0,248899,248899,1
283,83,414,0.362413,278654,278654,1
284,83,786,0.362413,278654,278654,1
285,83,956,1.0,123261,123261,1
286,83,1547,1.0,248899,248899,1
287,83,1646,1.0,69028,69028,1
288,83,1792,1.0,137409,137409,1
289,83,1919,0.362413,278654,278654,1
290,83,1957,1.0,137409,137409,1
291,84,427,1.0,44793,44793,1
292,84,485,0.979242,277795,277795,1
293,84,639,1.0,277795,277795,1
294,84,857,1.0,17878,17878,1
295,84,976,1.0,277795,277795,1
296,84,1018,1.0,277795,277795,1
297,84,1053,0.225114,277795,277795,1
298,84,1639,1.0,55354,55354,1
299,85,176,1.0,94743,94743,1
300,85,625,1.0,207905,207905,1
301,85,696,1.0,207905,207905,1
302,85,1918,1.0,207905,207905,1
303,86,153,0.389813,318217,318217,1
304,86,441,0.389813,318217,318217,1
305,86,482,0.389813,318217,318217,1
306,86,496,0.389813,318217,318217,1
307,86,740,0.389813,318217,318217,1
308,86,776,0.389813,318217,318217,1
309,86,816,1.0,46151,46151,1
310,86,1336,0.389813,318217,318217,1
311,86,1540,1.0,46151,46151,1
312,86,1783,0.319901,318217,318217,1
313,88,121,1.0,136759,136759,1
314,89,609,1.0,41995,41995,1
315,89,733,0.333972,294842,294842,1
316,89,1009,1.0,5596,5596,1
317,89,1191,0.397805,294842,294842,1
318,89,1297,0.333972,294842,294842,1
319,89,1552,1.0,294842,294842,1
320,90,1618,1.0,158341,158341,1
321,93,105,0.214664,278040,278040,1
322,93,498,0.36269,339933,339933,1
323,93,1959,0.63731,124603,124603,1
324,94,645,0.124171,112055,112055,1
325,94,1131,0.15922,197294,197294,1
326,94,1683,0.15922,197294,197294,1
327,95,978,1.0,229655,229655,1
328,95,1231,1.0,60444,60444,1
329,96,137,1.0,111004,111004,1
330,96,178,1.0,303333,303333,1
331,96,729,0.881203,350306,350306,1
332,96,1447,1.0,303333,303333,1
333,96,1510,1.0,303333,303333,1
334,96,1779,1.0,111004,111004,1
335,97,1251,0.204335,334456,334456,1
336,98,536,1.0,96940,96940,1
337,98,1692,1.0,142697,142697,1
338,99,626,0.867918,248333,248333,1
339,99,1612,0.867918,29574,29574,1
340,100,128,0.264618,55797,55797,1
341,100,479,0.735382,28155,28155,1
342,100,699,0.264618,17659,17659,1
343,100,825,0.735382,64517,64517,1
344,101,252,0.50408,249630,249630,1
345,101,273,0.242703,249630,249630,1
346,101,431,0.50408,249630,249630,1
347,101,508,0.50408,219107,219107,1
348,101,1035,0.50408,249630,249630,1
349,101,1875,0.50408,226305,226305,1
350,102,767,1.0,10769,10769,1
351,102,1353,0.604034,356520,356520,1
352,102,1491,0.785364,255326,255326,1
353,102,1538,1.0,255326,255326,1
354,102,1544,1.0,255326,255326,1
355,103,224,1.0,281558,281558,1
356,103,240,1.0,322909,322909,1
357,103,384,1.0,281558,281558,1
358,103,721,1.0,194306,194306,1
359,103,762,1.0,281558,281558,1
360,103,913,1.0,281558,281558,1
361,103,1694,1.0,281558,281558,1
362,104,667,1.0,80099,80099,1
363,104,1461,1.0,265033,265033,1
364,105,1959,0.577354,278040,278040,1
365,106,152,0.111587,297183,297183,1
366,106,642,1.0,249255,249255,1
367,106,693,1.0,297183,297183,1
368,106,1077,1.0,249255,249255,1
369,107,592,1.0,104313,104313,1
370,107,836,1.0,104313,104313,1
371,107,839,0.320687,266452,266452,1
372,107,863,1.0,266452,266452,1
373,107,1593,1.0,104313,104313,1
374,107,1635,0.320687,266452,266452,1
375,107,1767,1.0,266452,266452,1
376,108,1083,1.0,214856,214856,1
377,108,1690,0.259823,23335,23335,1
378,108,1840,1.0,221529,221529,1
379,109,125,1.0,215778,215778,1
380,109,328,1.0,91459,91459,1
381,109,546,1.0,91459,91459,1
382,109,738,1.0,91459,91459,1
383,109,1429,1.0,91459,91459,1
384,110,658,0.199425,365045,365045,1
385,110,685,1.0,365045,365045,1
386,110,818,0.986259,365045,365045,1
387,110,1436,1.0,365045,365045,1
388,110,1494,1.0,365045,365045,1
389,110,1859,1.0,365045,365045,1
390,110,1987,0.986259,365045,365045,1
391,111,487,0.419269,127822,127822,1
392,111,1112,1.0,88951,88951,1
393,112,182,1.0,88598,88598,1
394,112,644,0.839237,251997,251997,1
395,112,1947,0.839237,251997,251997,1
396,113,584,0.232019,84701,84701,1
397,113,1176,0.767981,119222,119222,1
398,113,1339,0.232019,84701,84701,1
399,114,145,0.494032,195309,195309,1
400,114,247,0.505968,154042,154042,1
401,114,604,0.505968,314166,314166,1
402,114,730,0.505968,154042,154042,1
403,114,865,1.0,9060,9060,1
404,114,1001,0.505968,314166,314166,1
405,114,1023,0.494032,195309,195309,1
406,114,1254,0.505968,154042,154042,1
407,116,548,1.0,180064,180064,1
408,116,1389,1.0,180064,180064,1
409,116,1733,1.0,180064,180064,1
410,117,270,1.0,6057,6057,1
411,118,691,1.0,328527,328527,1
412,119,177,0.043812,342464,342464,1
413,119,198,1.0,258103,258103,1
414,119,290,0.552586,277716,277716,1
415,119,634,1.0,82748,82748,1
416,119,838,1.0,258103,258103,1
417,119,1041,1.0,258103,258103,1
418,119,1062,0.043812,342464,342464,1
419,119,1293,1.0,258103,258103,1
420,122,466,1.0,182894,182894,1
421,122,773,1.0,182894,182894,1
422,122,1054,1.0,27222,27222,1
423,123,481,1.0,102934,102934,1
424,123,599,1.0,369906,369906,1
425,123,620,1.0,118118,118118,1
426,125,328,1.0,215778,215778,1
427,125,546,1.0,215778,215778,1
428,125,738,1.0,215778,215778,1
429,125,1429,1.0,215778,215778,1
430,126,1711,1.0,102412,102412,1
431,126,1972,1.0,102412,102412,1
432,127,201,1.0,56547,56547,1
433,127,675,1.0,220438,220438,1
434,127,1027,1.0,56547,56547,1
435,128,699,1.0,55797,55797,1
436,129,1279,1.0,53242,53242,1
437,130,320,1.0,105400,105400,1
438,130,666,1.0,115573,115573,1
439,130,820,1.0,115573,115573,1
440,130,846,1.0,115573,115573,1
441,130,1072,1.0,115573,115573,1
442,130,1476,1.0,105400,105400,1
443,131,253,0.775828,308034,308034,1
444,131,272,1.0,298861,298861,1
445,131,562,1.0,308034,308034,1
446,131,753,0.644725,308034,308034,1
447,131,972,1.0,308034,308034,1
448,131,1148,1.0,298861,298861,1
449,131,1536,0.011666,341115,341115,1
450,131,1873,0.011666,341115,341115,1
451,132,973,1.0,197102,197102,1
452,133,576,1.0,317254,317254,1
453,133,719,1.0,232628,232628,1
454,133,927,1.0,317254,317254,1
455,133,936,1.0,317254,317254,1
456,133,1169,1.0,317254,317254,1
457,133,1177,1.0,232628,232628,1
458,133,1955,1.0,317254,317254,1
459,134,660,0.546137,186896,186896,1
460,134,1799,1.0,186896,186896,1
461,135,985,1.0,282535,282535,1
462,135,1192,1.0,264722,264722,1
463,137,178,1.0,303333,303333,1
464,137,729,0.881203,350306,350306,1
465,137,1447,1.0,303333,303333,1
466,137,1510,1.0,303333,303333,1
467,137,1779,1.0,71574,71574,1
468,138,171,1.0,197852,197852,1
469,138,216,1.0,197852,197852,1
470,138,255,1.0,109153,109153,1
471,138,1261,1.0,109153,109153,1
472,138,1342,1.0,109153,109153,1
473,138,1453,0.814725,22845,22845,1
474,138,1590,1.0,197852,197852,1
475,139,892,0.137454,342314,342314,1
476,139,1732,0.137454,342314,342314,1
477,139,1843,1.0,38185,38185,1
478,140,811,1.0,29535,29535,1
479,140,1084,0.779633,187652,187652,1
480,140,1784,1.0,29535,29535,1
481,141,491,0.3478,52876,52876,1
482,141,598,1.0,221624,221624,1
483,141,1079,1.0,161898,161898,1
484,141,1301,1.0,216695,216695,1
485,141,1330,1.0,82027,82027,1
486,141,1405,1.0,196556,196556,1
487,141,1509,1.0,52876,52876,1
488,141,1995,0.23244,216695,216695,1
489,142,570,0.938273,127749,127749,1
490,142,889,0.249716,343335,343335,1
491,142,935,1.0,10331,10331,1
492,142,944,0.978629,213585,213585,1
493,142,1974,1.0,13435,13435,1
494,143,946,1.0,114959,114959,1
495,143,1907,1.0,114959,114959,1
496,144,714,0.506126,261285,261285,1
497,144,923,1.0,11137,11137,1
498,145,865,0.494032,195309,195309,1
499,145,1023,1.0,20044,20044,1
500,146,382,0.525932,296577,296577,1
501,146,1895,1.0,212920,212920,1
502,147,205,1.0,257372,257372,1
503,147,1597,1.0,58441,58441,1
504,147,1641,1.0,257372,257372,1
505,147,1650,1.0,257372,257372,1
506,147,1825,1.0,257372,257372,1
507,148,372,1.0,287099,287099,1
508,148,420,1.0,224435,224435,1
509,148,505,0.088135,267882,267882,1
510,148,579,1.0,323102,323102,1
511,148,950,1.0,165127,165127,1
512,148,954,1.0,165127,165127,1
513,148,1349,1.0,224435,224435,1
514,148,1702,1.0,323102,323102,1
515,149,203,1.0,322021,322021,1
516,149,507,1.0,322021,322021,1
517,149,947,1.0,322021,322021,1
518,149,1474,1.0,235708,235708,1
519,149,1563,1.0,322021,322021,1
520,150,636,0.042845,324665,324665,1
521,150,1145,0.21417,313002,313002,1
522,150,1229,0.042845,312959,312959,1
523,150,1473,0.21417,270519,270519,1
524,150,1638,0.042845,312959,312959,1
525,150,1950,0.042845,276007,276007,1
526,151,1242,1.0,69472,69472,1
527,152,642,0.111587,297183,297183,1
528,152,693,0.111587,146901,146901,1
529,152,1077,0.111587,297183,297183,1
530,152,1492,0.888413,21653,21653,1
531,153,441,0.682537,287268,287268,1
532,153,482,0.682537,287268,287268,1
533,153,496,0.682537,287268,287268,1
534,153,740,0.682537,287268,287268,1
535,153,776,1.0,138670,138670,1
536,153,816,0.389813,318217,318217,1
537,153,1336,0.682537,318217,318217,1
538,153,1540,0.389813,318217,318217,1
539,153,1783,0.319901,287268,287268,1
540,154,624,1.0,296399,296399,1
541,154,1204,1.0,159544,159544,1
542,154,1207,1.0,81280,81280,1
543,154,1914,1.0,296399,296399,1
544,155,1363,1.0,198271,198271,1
545,156,1307,1.0,13297,13297,1
546,157,1721,1.0,200732,200732,1
547,159,277,1.0,224111,224111,1
548,160,407,1.0,375741,375741,1
549,160,1017,1.0,160371,160371,1
550,161,1183,1.0,197105,197105,1
551,161,1250,1.0,294727,294727,1
552,161,1356,0.072344,197105,197105,1
553,162,890,0.689069,168281,168281,1
554,162,1039,0.310931,177800,177800,1
555,162,1101,0.310931,293059,293059,1
556,162,1425,0.689069,168281,168281,1
557,163,1352,1.0,3908,3908,1
558,164,355,1.0,203355,203355,1
559,165,1465,1.0,2951,2951,1
560,165,1888,1.0,74966,74966,1
561,166,193,1.0,75891,75891,1
562,166,1201,1.0,5645,5645,1
563,166,1215,1.0,3351,3351,1
564,166,1567,1.0,3351,3351,1
565,168,451,1.0,31370,31370,1
566,168,1063,1.0,266482,266482,1
567,168,1121,1.0,221933,221933,1
568,168,1391,1.0,31370,31370,1
569,168,1531,0.945633,313439,313439,1
570,168,1576,0.945633,313439,313439,1
571,168,1583,1.0,211287,211287,1
572,168,1915,0.945633,313439,313439,1
573,171,216,1.0,51131,51131,1
574,171,255,1.0,197852,197852,1
575,171,1261,1.0,197852,197852,1
576,171,1342,1.0,197852,197852,1
577,171,1453,0.814725,197852,197852,1
578,171,1590,1.0,3636,3636,1
579,172,494,1.0,133052,133052,1
580,173,866,0.442936,162184,162184,1
581,173,1858,1.0,84994,84994,1
582,174,519,0.247093,134751,134751,1
583,174,556,0.065608,232311,232311,1
584,174,903,0.065608,232311,232311,1
585,174,990,0.247093,134751,134751,1
586,175,1008,0.887456,40198,40198,1
587,176,625,1.0,207905,207905,1
588,176,696,1.0,207905,207905,1
589,176,1918,1.0,207905,207905,1
590,177,198,0.043812,342464,342464,1
591,177,634,0.043812,342464,342464,1
592,177,838,0.043812,342464,342464,1
593,177,1041,0.043812,342464,342464,1
594,177,1062,1.0,28645,28645,1
595,177,1293,0.043812,342464,342464,1
596,177,1672,0.328897,181091,181091,1
597,178,729,0.881203,350306,350306,1
598,178,1447,1.0,165643,165643,1
599,178,1510,1.0,165643,165643,1
600,178,1779,1.0,303333,303333,1
601,180,1209,1.0,6442,6442,1
602,181,584,0.213649,126932,126932,1
603,181,1339,0.213649,126932,126932,1
604,181,1801,1.0,247509,247509,1
605,182,644,0.839237,251997,251997,1
606,182,1947,0.839237,251997,251997,1
607,183,1768,1.0,3386,3386,1
608,186,211,1.0,166782,166782,1
609,188,918,1.0,262089,262089,1
610,188,1292,0.99259,341729,341729,1
611,189,212,1.0,244730,244730,1
612,189,418,1.0,244730,244730,1
613,189,964,1.0,160484,160484,1
614,189,1210,1.0,244730,244730,1
615,189,1304,1.0,160484,160484,1
616,189,1676,1.0,244730,244730,1
617,190,603,0.522886,238062,238062,1
618,190,649,0.522886,202784,202784,1
619,190,1382,1.0,75373,75373,1
620,191,269,0.612745,378245,378245,1
621,191,391,0.612745,378245,378245,1
622,191,759,0.612745,151431,151431,1
623,191,1034,0.612745,378245,378245,1
624,191,1371,0.612745,378245,378245,1
625,191,1575,0.612745,378245,378245,1
626,193,1201,1.0,75891,75891,1
627,193,1215,1.0,75891,75891,1
628,193,1567,1.0,75891,75891,1
629,194,1270,0.856429,362265,362265,1
630,195,574,1.0,57362,57362,1
631,196,1130,1.0,121073,121073,1
632,196,1707,1.0,121073,121073,1
633,198,290,0.552586,277716,277716,1
634,198,634,1.0,258103,258103,1
635,198,838,1.0,207534,207534,1
636,198,1041,1.0,86836,86836,1
637,198,1062,0.043812,342464,342464,1
638,198,1293,1.0,207534,207534,1
639,199,1614,1.0,3482,3482,1
640,200,1051,1.0,140253,140253,1
641,200,1517,1.0,140253,140253,1
642,200,1973,1.0,140253,140253,1
643,201,675,1.0,220438,220438,1
644,201,1027,1.0,26041,26041,1
645,202,1422,1.0,14261,14261,1
646,203,507,1.0,273292,273292,1
647,203,947,1.0,273292,273292,1
648,203,1474,1.0,322021,322021,1
649,203,1563,1.0,273292,273292,1
650,204,831,1.0,345769,345769,1
651,205,1597,1.0,257372,257372,1
652,205,1641,1.0,23980,23980,1
653,205,1650,1.0,85911,85911,1
654,205,1825,1.0,85911,85911,1
655,206,337,1.0,72939,72939,1
656,206,1314,1.0,5216,5216,1
657,207,443,0.21438,46585,46585,1
658,207,1000,1.0,19677,19677,1
659,207,1681,1.0,19677,19677,1
660,207,1723,0.21438,46585,46585,1
661,207,1999,0.21438,46585,46585,1
662,209,335,0.23257,243386,243386,1
663,209,610,1.0,212434,212434,1
664,209,1198,1.0,34924,34924,1
665,209,1981,0.23257,243386,243386,1
666,210,1708,1.0,45893,45893,1
667,212,418,1.0,23898,23898,1
668,212,964,1.0,244730,244730,1
669,212,1210,1.0,216775,216775,1
670,212,1304,1.0,244730,244730,1
671,212,1676,1.0,216775,216775,1
672,213,257,0.167382,335696,335696,1
673,213,528,1.0,5682,5682,1
674,213,1343,0.483919,216320,216320,1
675,213,1904,0.167382,335696,335696,1
676,214,267,1.0,216465,216465,1
677,214,490,1.0,263128,263128,1
678,214,654,1.0,216465,216465,1
679,214,1334,1.0,216465,216465,1
680,214,1385,1.0,216465,216465,1
681,214,1806,1.0,216465,216465,1
682,215,501,1.0,150385,150385,1
683,215,690,1.0,236055,236055,1
684,215,862,1.0,236055,236055,1
685,215,1300,1.0,230763,230763,1
686,215,1684,1.0,230763,230763,1
687,215,1968,1.0,230763,230763,1
688,216,255,1.0,197852,197852,1
689,216,1261,1.0,197852,197852,1
690,216,1342,1.0,197852,197852,1
691,216,1453,0.814725,197852,197852,1
692,216,1590,1.0,51131,51131,1
693,217,1715,1.0,87948,87948,1
694,218,1463,1.0,113026,113026,1
695,219,271,0.586134,142149,142149,1
696,219,876,1.0,47639,47639,1
697,219,1320,1.0,164507,164507,1
698,220,564,0.762296,291124,291124,1
699,222,524,1.0,14789,14789,1
700,222,748,0.076676,46056,46056,1
701,222,1233,0.947508,338605,338605,1
702,222,1821,1.0,23601,23601,1
703,224,240,1.0,322909,322909,1
704,224,384,1.0,125042,125042,1
705,224,721,1.0,281558,281558,1
706,224,762,1.0,125042,125042,1
707,224,913,1.0,35664,35664,1
708,224,1694,1.0,125042,125042,1
709,225,736,1.0,11302,11302,1
710,225,953,1.0,274785,274785,1
711,225,1611,0.192628,274785,274785,1
712,226,835,0.142346,199011,199011,1
713,226,1601,1.0,199011,199011,1
714,226,1867,1.0,125133,125133,1
715,226,1890,0.739612,199011,199011,1
716,227,506,1.0,322605,322605,1
717,227,1199,1.0,202886,202886,1
718,227,1656,1.0,352724,352724,1
719,227,1693,1.0,202886,202886,1
720,227,1735,0.578241,322605,322605,1
721,228,1833,1.0,6654,6654,1
722,230,595,0.281609,250333,250333,1
723,230,707,1.0,35647,35647,1
724,230,1497,1.0,250333,250333,1
725,231,581,1.0,290565,290565,1
726,231,1485,1.0,290565,290565,1
727,231,1773,1.0,290565,290565,1
728,231,1920,1.0,290565,290565,1
729,232,810,1.0,65309,65309,1
730,233,635,1.0,216889,216889,1
731,233,771,0.740496,281902,281902,1
732,233,832,0.740496,281902,281902,1
733,233,1333,0.221055,216889,216889,1
734,233,1409,1.0,72303,72303,1
735,233,1417,0.30708,216889,216889,1
736,233,1846,0.30708,216889,216889,1
737,234,434,0.478184,343275,343275,1
